UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  1 20:58 ?        00:00:41 /sbin/init splash
root           2       0  0 20:58 ?        00:00:02 [kthreadd]
root           3       2  0 20:58 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 20:58 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 20:58 ?        00:00:00 [kworker/R-rcu_p]
root           6       2  0 20:58 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 20:58 ?        00:00:00 [kworker/R-netns]
root          12       2  0 20:58 ?        00:00:00 [kworker/R-mm_pe]
root          13       2  0 20:58 ?        00:00:00 [rcu_tasks_kthread]
root          14       2  0 20:58 ?        00:00:00 [rcu_tasks_rude_kthread]
root          15       2  0 20:58 ?        00:00:00 [rcu_tasks_trace_kthread]
root          16       2  0 20:58 ?        00:00:02 [ksoftirqd/0]
root          17       2  0 20:58 ?        00:00:04 [rcu_preempt]
root          18       2  0 20:58 ?        00:00:03 [migration/0]
root          19       2  0 20:58 ?        00:00:00 [idle_inject/0]
root          20       2  0 20:58 ?        00:00:00 [cpuhp/0]
root          21       2  0 20:58 ?        00:00:00 [cpuhp/1]
root          22       2  0 20:58 ?        00:00:00 [idle_inject/1]
root          23       2  0 20:58 ?        00:00:03 [migration/1]
root          24       2  0 20:58 ?        00:00:02 [ksoftirqd/1]
root          27       2  0 20:58 ?        00:00:00 [cpuhp/2]
root          28       2  0 20:58 ?        00:00:00 [idle_inject/2]
root          29       2  0 20:58 ?        00:00:04 [migration/2]
root          30       2  0 20:58 ?        00:00:06 [ksoftirqd/2]
root          33       2  0 20:58 ?        00:00:00 [cpuhp/3]
root          34       2  0 20:58 ?        00:00:00 [idle_inject/3]
root          35       2  0 20:58 ?        00:00:06 [migration/3]
root          36       2  0 20:58 ?        00:00:01 [ksoftirqd/3]
root          39       2  0 20:58 ?        00:00:00 [cpuhp/4]
root          40       2  0 20:58 ?        00:00:00 [idle_inject/4]
root          41       2  0 20:58 ?        00:00:04 [migration/4]
root          42       2  0 20:58 ?        00:00:02 [ksoftirqd/4]
root          45       2  0 20:58 ?        00:00:00 [cpuhp/5]
root          46       2  0 20:58 ?        00:00:00 [idle_inject/5]
root          47       2  0 20:58 ?        00:00:04 [migration/5]
root          48       2  0 20:58 ?        00:00:01 [ksoftirqd/5]
root          50       2  0 20:58 ?        00:00:00 [kworker/5:0H-kblockd]
root          51       2  0 20:58 ?        00:00:00 [cpuhp/6]
root          52       2  0 20:58 ?        00:00:00 [idle_inject/6]
root          53       2  0 20:58 ?        00:00:01 [migration/6]
root          54       2  0 20:58 ?        00:00:04 [ksoftirqd/6]
root          57       2  0 20:58 ?        00:00:01 [kworker/u14:1-ext4-rsv-conversion]
root          59       2  0 20:58 ?        00:00:08 [kworker/u16:0-events_freezable_power_]
root          61       2  0 20:58 ?        00:00:03 [kworker/u18:0-events_unbound]
root          63       2  0 20:58 ?        00:00:02 [kworker/u20:0-events_power_efficient]
root          65       2  0 20:58 ?        00:00:00 [kdevtmpfs]
root          66       2  0 20:58 ?        00:00:00 [kworker/R-inet_]
root          68       2  0 20:58 ?        00:00:00 [kauditd]
root          70       2  0 20:58 ?        00:00:00 [khungtaskd]
root          71       2  0 20:58 ?        00:00:00 [oom_reaper]
root          73       2  0 20:58 ?        00:00:00 [kworker/R-write]
root          75       2  0 20:58 ?        00:00:00 [kcompactd0]
root          76       2  0 20:58 ?        00:00:00 [ksmd]
root          80       2  0 20:58 ?        00:00:01 [kworker/4:1-events]
root          81       2  0 20:58 ?        00:00:00 [khugepaged]
root          82       2  0 20:58 ?        00:00:01 [kworker/u19:1-flush-8:0]
